Building_Type,Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
Residential,39,11,No,Chemical,Small,43,4,No,9,8,No,No,Over 3 years,17.91167451425666,54.846818461572425,0.745422668226978,36.36277716807948
Residential,12,3,No,Negligence,Large,21,9,Yes,2,3,No,No,Within 1 year,15.1,49.33368944640979,1.930504851447272,36.611578199180585
Residential,42,12,Yes,Negligence,Large,6,5,Yes,12,9,Yes,Yes,Over 3 years,19.09165521909916,78.80044458544096,2.25799238999376,62.76026697917371
Commercial,25,7,No,Negligence,Medium,31,6,Yes,10,14,No,No,Over 3 years,20.78950980067489,75.78195309773672,2.50234103910907,35.82508121012148
Residential,5,1,Yes,Chemical,Medium,20,4,No,1,0,No,No,Over 3 years,15.1,55.03894428468082,2.397260630208524,25.096998467631245
Industrial,22,6,No,Negligence,Medium,50,2,No,5,1,No,No,Over 3 years,25.8671075727415,62.68272071063562,3.6333455175352025,41.40584908934415
Residential,5,1,Yes,Chemical,Small,38,6,No,1,1,No,No,Over 3 years,18.141835528793685,55.41113762511343,3.582527554692757,57.45049032750115
Residential,20,6,No,Negligence,Medium,50,5,Yes,7,8,No,No,1-3 years,21.88108034726805,73.30955470418849,1.2467079218364596,27.42329170772128
Residential,38,11,No,Chemical,Large,23,3,No,10,6,No,No,Within 1 year,17.059944359114,58.05784565984058,1.7692342775285108,31.89408761053335
Commercial,12,3,No,Negligence,Medium,30,6,No,1,5,No,No,None,20.511819495848247,76.64325011256884,2.12907995586233,58.24003136107564
Industrial,47,14,No,Chemical,Medium,7,4,No,4,5,No,No,Over 3 years,29.7,59.747427855288805,1.555057015234787,2.3
Residential,32,9,Yes,Chemical,Small,0,6,Yes,11,15,No,Yes,None,21.722064599065213,52.75813701461975,3.759499362612792,50.47435626010032
Residential,27,8,No,Chemical,Medium,0,9,Yes,6,11,No,No,None,23.69304526830597,40.87678112602319,3.506101905358688,53.6792424373792
Residential,41,12,No,Chemical,Small,31,2,Yes,16,19,Yes,Yes,Within 1 year,29.315459954954,71.38029712525727,4.6329696186128535,48.169189613302585
Residential,48,14,No,Negligence,Small,37,5,No,11,5,No,Yes,None,18.7473956665726,72.2075957306938,3.9592165364704544,22.576167269948307
Commercial,29,8,No,Chemical,Small,39,4,Yes,12,10,No,No,Over 3 years,20.13522786175264,86.69979960042903,1.5988641377752386,39.86353034654236
Residential,11,3,No,Negligence,Medium,48,5,Yes,1,4,No,No,None,17.59839162482915,40.4,3.215093839528205,4.170202276422696
Commercial,27,8,Yes,Chemical,Small,27,4,No,8,5,Yes,Yes,1-3 years,24.61462636579787,78.62581690751428,4.114013607921258,29.28554940898673
Commercial,42,12,No,Negligence,Medium,18,4,Yes,14,9,No,No,Within 1 year,18.28131864260109,99.4,3.902385750891569,34.37148081536098
Commercial,18,5,No,Negligence,Medium,46,8,Yes,7,6,Yes,Yes,None,16.75363912845087,87.40311928457707,3.824544409957072,86.13444522732817
Residential,39,11,Yes,Negligence,Large,18,6,Yes,17,10,Yes,Yes,1-3 years,18.59991195074386,80.45448207629714,3.991978297413792,65.09562454879247
Industrial,5,1,Yes,Negligence,Medium,19,3,No,1,5,No,Yes,None,23.799104728543515,43.6413629530301,2.8878010599370225,57.118761233938095
Commercial,27,8,No,Negligence,Medium,27,4,Yes,5,3,No,No,None,24.590623235811165,68.45673681946873,3.17214570389002,7.950971130047485
Residential,12,3,No,Negligence,Large,29,5,No,2,8,No,Yes,Over 3 years,18.71910714933066,89.02822693243046,2.33320035867179,9.791175435843943
Industrial,26,8,Yes,Chemical,Small,27,2,Yes,6,9,No,Yes,1-3 years,17.81506861705936,76.85296975422604,3.304732469128722,32.94305043543714
Residential,5,1,Yes,Electrical,Small,18,6,Yes,2,6,No,No,None,24.098051103668617,66.3505773628674,3.619559051209124,54.61016034921485
Commercial,27,8,Yes,Negligence,Medium,4,6,Yes,3,2,No,No,Over 3 years,22.189649874987165,64.00843389094649,2.457273737242096,25.6593921915986
Commercial,49,14,Yes,Chemical,Medium,25,5,Yes,10,6,No,No,Over 3 years,26.8149331474173,66.40563271437661,1.12418834855179,16.85231731321369
Commercial,31,9,Yes,Chemical,Medium,7,4,Yes,6,8,No,No,None,18.535680253935165,64.8981332471668,3.91147236830808,46.458396149238105
Industrial,20,5,Yes,Negligence,Medium,23,8,Yes,6,9,No,No,Within 1 year,21.08341349589025,58.05727528057319,2.97241536480129,48.85657241230984
Industrial,37,11,No,Negligence,Small,33,1,Yes,10,16,No,No,None,19.20121947676806,74.8467629929991,2.8960231470866447,54.68901143552276
Commercial,30,9,Yes,Chemical,Medium,16,8,No,5,0,No,No,None,23.785975518745065,61.71457195919787,2.780505064179287,2.3
Commercial,31,9,No,Chemical,Medium,33,5,No,5,0,Yes,Yes,1-3 years,23.50594680558279,88.63434501975766,0.6,2.3
Residential,46,13,No,Negligence,Small,7,10,Yes,14,14,No,No,Over 3 years,22.39789143560882,69.55106442811713,1.0089712131927906,2.3
Residential,5,1,Yes,Negligence,Small,35,9,No,1,0,No,No,Over 3 years,16.671974080837025,63.55809027952381,2.117035229813264,47.2571446734743
Commercial,37,10,No,Chemical,Small,43,2,Yes,13,20,No,No,None,26.406793911748625,77.31710712745627,4.9,27.84636439964964
Residential,28,8,Yes,Negligence,Small,22,7,Yes,8,10,No,No,Over 3 years,19.380710696830526,49.04079962739451,3.48244309836284,54.9353183978842
Commercial,48,14,No,Electrical,Large,27,7,Yes,11,10,No,Yes,None,20.76045280450544,92.57287231755384,1.198377275372868,49.15719978542765
Residential,24,7,No,Chemical,Medium,25,5,No,5,10,No,No,None,24.6273014191895,52.88674021384371,1.927436808139186,44.60759112482015
Commercial,35,10,No,Chemical,Small,47,4,Yes,8,8,Yes,No,Within 1 year,27.298859684284608,70.5400407748457,2.4319233844654047,18.172285223002515
Residential,24,7,Yes,Negligence,Large,26,6,Yes,6,6,No,Yes,Over 3 years,19.388110265061872,69.03241978083457,1.5980133118491455,32.2616452795479
Residential,49,14,No,Chemical,Medium,20,9,No,15,16,No,No,None,28.41355545512687,70.91814774186892,4.185465733287601,9.174868879362872
Residential,29,8,Yes,Electrical,Large,4,4,Yes,8,14,No,Yes,Over 3 years,15.783245460565071,80.48305868589587,3.434083217157996,2.3
Industrial,49,14,No,Chemical,Small,36,1,Yes,10,18,No,No,None,27.825706324577336,52.4251518058383,4.04055006503071,7.720258641906291
Commercial,23,7,No,Negligence,Medium,3,8,No,7,12,No,No,None,15.112819403562426,66.45654671142314,0.6,40.035573983087495
Residential,38,11,No,Negligence,Medium,38,10,Yes,12,2,No,Yes,None,15.1,54.936256345325646,2.2705094272171693,71.71498578269764
Residential,37,10,Yes,Electrical,Small,9,7,Yes,14,20,Yes,Yes,Over 3 years,23.0987193099025,96.46618211209028,1.4014831468779332,26.582491830964567
Commercial,15,4,Yes,Negligence,Large,18,1,No,7,8,Yes,Yes,Within 1 year,27.4944800728022,99.4,4.9,2.3
Residential,7,2,No,Chemical,Large,47,4,No,2,5,Yes,No,Over 3 years,19.35189114917408,68.78627044884381,2.6090754110048766,48.5948465990906
Industrial,17,5,No,Chemical,Medium,21,9,Yes,6,13,No,No,None,19.58335314966008,94.28274519406246,0.8595471354567337,70.05816612658407
Residential,39,11,Yes,Negligence,Small,33,1,Yes,7,7,Yes,Yes,1-3 years,23.16171809147797,67.8475125511733,4.641119275945248,21.572028028228125
Residential,25,7,Yes,Chemical,Small,5,7,No,4,6,No,No,None,17.658886584714775,46.56299584838389,2.35526812912473,7.527638829535146
Residential,14,4,No,Negligence,Small,28,5,Yes,5,11,No,No,Within 1 year,22.201388781726926,70.07956097464084,0.9966449466608308,30.78272610929497
Residential,16,5,No,Negligence,Large,28,10,Yes,7,2,No,No,None,23.55037521769343,52.032054160772766,4.9,77.57163671961878
Industrial,16,5,Yes,Negligence,Medium,36,6,Yes,5,6,No,Yes,None,17.36346326431896,74.33630616367562,2.487062626585133,78.61360019130723
Residential,26,8,No,Chemical,Medium,43,2,No,6,0,No,Yes,Over 3 years,16.247418442833556,56.1805273578367,4.272777119052471,32.84375668308505
Residential,20,6,Yes,Chemical,Small,9,5,Yes,9,11,No,Yes,None,24.458993137209383,82.0289506582814,1.195562911050573,64.44299911117379
Industrial,21,6,Yes,Negligence,Medium,34,1,Yes,2,10,No,No,Within 1 year,26.203194871942795,61.92762790149138,4.9,35.24053898204327
Industrial,33,9,Yes,Negligence,Large,42,3,Yes,7,13,No,No,Within 1 year,24.749341301741985,66.78034110857614,3.189153773135857,53.26989643940208
Residential,29,8,No,Negligence,Medium,9,6,Yes,8,11,No,No,Over 3 years,24.765621256865312,78.04220545610245,0.8403176195408957,26.55308975394401
Commercial,24,7,Yes,Chemical,Large,13,8,No,8,2,Yes,Yes,Over 3 years,15.6517328821685,61.77570855333621,2.469199499918682,82.302633130889
Residential,38,11,No,Chemical,Small,0,7,Yes,7,1,No,No,Over 3 years,18.63794658043296,73.46577576249666,1.9692508302938327,2.3
Residential,38,11,No,Chemical,Large,31,9,Yes,14,14,Yes,No,Over 3 years,17.37933068230268,64.6981665303144,3.314304265212061,65.70441087609453
Residential,31,9,No,Negligence,Large,7,10,Yes,7,12,No,No,Over 3 years,23.84544663993444,44.119954746581854,1.4321947979124108,46.17570450522756
Residential,21,6,Yes,Negligence,Large,12,5,No,6,11,No,No,Over 3 years,19.896374581236405,77.49255414261663,3.933240363161537,47.11740827040484
Commercial,18,5,Yes,Electrical,Large,50,8,No,8,10,No,No,None,22.74513120740985,99.4,1.711881930548655,69.8931925662618
Commercial,12,3,No,Chemical,Small,45,7,No,1,2,No,No,Over 3 years,25.91016564555263,62.66947796381114,1.2778038015579622,38.48537819980557
Residential,32,9,Yes,Chemical,Small,0,4,Yes,8,7,No,No,None,21.478811771021142,81.62693195126688,1.6354407323528666,61.7424219685692
Industrial,49,14,No,Chemical,Small,22,3,Yes,11,7,No,Yes,Within 1 year,22.74343452720772,85.57452722746812,2.9208427372702253,10.475025776865465
Commercial,18,5,Yes,Negligence,Medium,20,6,No,6,5,Yes,Yes,Over 3 years,23.76689500560112,93.03301421580731,0.7709341791757549,74.326070004513
Industrial,26,8,Yes,Chemical,Large,28,6,Yes,8,12,No,No,None,21.36425867760492,79.70195153396634,1.9417424157478336,74.41217587041524
Commercial,29,8,Yes,Chemical,Small,28,4,No,1,0,No,No,None,20.15398957791949,43.15166548768542,1.2367052746984937,14.892802056654514
Commercial,19,5,Yes,Chemical,Large,20,10,No,3,0,No,Yes,None,18.996102146573303,53.01363230370999,4.350180490314211,20.987490487635498
Residential,6,2,No,Negligence,Small,42,3,No,1,0,No,Yes,Within 1 year,22.878636265244225,96.91100738068552,3.1194663152876347,2.3
Industrial,13,3,No,Negligence,Small,36,5,No,2,9,No,No,Over 3 years,23.92972931394693,64.36699769998516,0.6,43.02453842087763
Residential,33,10,No,Chemical,Medium,0,8,No,7,5,No,No,Over 3 years,20.962446321895467,74.25255444900955,2.2362017773643386,9.502012583625042
Residential,19,5,No,Negligence,Small,12,7,No,8,10,No,Yes,Over 3 years,16.637764463084757,87.26211488337574,2.2711189198978325,28.135282346538386
Industrial,49,14,No,Negligence,Large,45,2,Yes,11,13,Yes,Yes,1-3 years,28.94984239203632,83.12383515951049,2.624862888259224,3.778168573809449
Residential,20,6,Yes,Chemical,Small,21,4,Yes,6,7,No,No,None,17.732017307086405,77.68889917641152,4.191034369557551,31.178365762474414
Residential,35,9,No,Chemical,Medium,34,4,No,5,1,No,No,Over 3 years,29.052696109326625,62.25918466917647,1.2894723383085984,2.3
Residential,31,8,No,Negligence,Large,21,3,Yes,8,12,No,Yes,None,15.1,65.19465154997707,1.2299686931771256,82.38390188047461
Commercial,24,7,Yes,Chemical,Medium,7,5,No,7,6,No,Yes,Over 3 years,20.7930811271619,92.55733737307231,1.661866000990027,43.85675461082745
Commercial,28,8,Yes,Electrical,Large,23,5,Yes,11,11,No,Yes,Over 3 years,19.06256508713412,89.63808954905497,4.2234402440344105,74.56383215334554
Commercial,35,10,No,Chemical,Medium,38,3,Yes,7,8,No,No,Within 1 year,26.77901427899223,59.5115690024837,2.450120665273277,11.684529196061366
Commercial,24,7,Yes,Chemical,Small,38,4,No,7,6,Yes,Yes,1-3 years,23.80792519441569,63.98392659840271,1.7872773865512304,50.21979027061574
Residential,37,11,No,Chemical,Large,19,7,No,9,1,No,Yes,Within 1 year,15.1,58.12493287066475,0.6892530418275435,2.3
Commercial,37,10,No,Negligence,Small,31,2,Yes,4,9,No,No,Over 3 years,24.70285527455961,40.4,3.768929576388732,7.750656674588829
Commercial,17,5,Yes,Chemical,Small,35,5,Yes,6,9,Yes,Yes,Within 1 year,22.92608614978612,77.86708976329399,4.102337868388505,94.1
Commercial,28,8,No,Negligence,Large,16,5,No,1,0,No,No,Over 3 years,20.035642253124788,84.34349573111678,1.3782921859029618,15.243811021834976
Industrial,49,14,No,Chemical,Small,21,10,Yes,17,16,No,No,None,29.387646363103023,85.6640669299354,2.513435775040396,72.72855281565175
Commercial,29,8,Yes,Chemical,Medium,23,6,Yes,10,7,Yes,Yes,Within 1 year,18.88320479577736,77.19720097211548,2.4928439259158344,48.14438712960524
Residential,35,10,No,Negligence,Medium,33,5,Yes,7,1,No,Yes,Within 1 year,23.12631765981837,82.14515278830002,1.2968674859217597,2.3
Residential,11,3,Yes,Negligence,Medium,9,8,No,4,7,No,Yes,None,22.331651678102304,75.49020994541459,2.7172225648696204,41.66162966837764
Residential,36,11,No,Negligence,Large,11,7,No,9,5,Yes,Yes,Over 3 years,15.67781326973624,59.355129415253046,4.9,20.82343299216208
Commercial,24,7,No,Chemical,Large,0,5,Yes,7,9,No,Yes,None,19.49264891153616,69.07736699197527,1.231986811593858,94.1
Residential,31,9,Yes,Negligence,Small,28,5,Yes,4,4,No,No,Within 1 year,20.830122038247165,57.92618979782081,0.6280196468097019,6.874712592879376
Residential,21,6,No,Electrical,Small,18,10,No,8,12,No,No,Within 1 year,24.503447536101483,52.87835580835795,1.6263679676634044,52.95609709571174
Commercial,24,7,No,Chemical,Medium,20,10,Yes,8,6,No,No,Over 3 years,23.03071349627738,64.60791619188838,2.7403624511869284,8.439453504294942
Residential,36,10,No,Negligence,Small,25,10,No,11,5,No,No,Within 1 year,18.049441310453023,88.97308522166908,1.1071368757148263,2.3
Residential,38,11,No,Negligence,Medium,32,6,Yes,12,3,No,No,Over 3 years,15.1,40.4,4.868427589196828,24.330971789168835
Commercial,5,1,Yes,Chemical,Medium,40,3,No,1,0,No,No,Over 3 years,19.51841703972723,85.1347971599487,4.694682323256275,2.3
Commercial,5,2,Yes,Electrical,Medium,16,7,No,1,8,No,No,Within 1 year,24.31768218237605,88.16607079068588,0.6,6.136069671298159
Industrial,5,2,Yes,Chemical,Medium,38,1,No,1,4,Yes,No,Over 3 years,24.72018725018195,67.5583335204027,2.432454250717125,68.87398849754359
Commercial,40,11,No,Electrical,Large,27,7,Yes,13,6,Yes,Yes,None,15.1,99.4,3.3575660890412733,52.37244746059768
Commercial,39,11,No,Chemical,Medium,50,7,Yes,7,5,No,No,Within 1 year,23.50740572806588,40.4,3.012638155256531,13.25962193571528
Residential,49,14,No,Negligence,Small,15,9,Yes,12,10,Yes,Yes,Within 1 year,25.691180792244293,88.22463097630971,2.703406478405808,2.3
Residential,25,7,No,Chemical,Large,0,10,Yes,7,3,Yes,Yes,Within 1 year,15.1,61.61214241906552,1.788378033587524,33.410913259520015
Commercial,41,12,No,Negligence,Small,14,6,Yes,16,18,Yes,No,Over 3 years,21.042513196677383,80.92257370731132,2.408689135448577,2.3
Industrial,16,4,Yes,Negligence,Medium,47,2,No,1,1,No,Yes,None,20.21790862802071,59.67945921669285,4.759363871663368,29.696082426375845
Residential,45,13,Yes,Chemical,Medium,16,2,Yes,14,20,Yes,Yes,None,26.984438275331748,97.98596697889326,3.1652008127225297,25.644154470602903
Residential,27,8,Yes,Chemical,Large,16,6,No,7,0,No,No,Within 1 year,15.311696977906808,72.94030041189745,2.1380324632085266,7.236071317586575
Residential,36,10,No,Chemical,Medium,25,1,Yes,7,3,No,No,1-3 years,16.037581351615334,40.4,4.620619840946058,2.3
Commercial,42,12,No,Negligence,Medium,26,5,Yes,8,3,No,No,1-3 years,24.45447652549912,49.53861392334535,3.964978536710552,33.80943247500017
Commercial,29,9,Yes,Chemical,Small,40,1,No,9,4,No,Yes,Over 3 years,17.87454158192842,97.23836267172716,1.5328895274885648,40.28177212600751
Residential,47,13,No,Negligence,Small,9,10,Yes,14,7,No,Yes,Over 3 years,15.1,77.28242696565151,3.424594392949361,27.247724061019287
Commercial,34,10,Yes,Negligence,Large,50,2,Yes,13,7,Yes,Yes,Over 3 years,23.71956318460127,90.2541393628811,2.3216703550116344,71.40313478325324
Commercial,23,7,No,Chemical,Medium,43,4,Yes,6,5,Yes,Yes,Over 3 years,19.81282107332348,64.91219001676697,3.084720510406224,53.3195621868472
Industrial,16,5,Yes,Negligence,Medium,39,3,No,6,0,Yes,Yes,Over 3 years,17.708525248152846,91.34378418930724,4.9,49.376441011871776
Commercial,44,13,No,Negligence,Medium,36,7,Yes,11,8,No,No,Over 3 years,15.1,59.97356965119975,2.781298371838396,30.40964668564995
Residential,26,7,No,Chemical,Small,40,5,No,5,0,Yes,Yes,Within 1 year,29.0522844837886,72.50953795524897,2.548369755733225,7.10466371658179
Industrial,5,1,Yes,Chemical,Medium,24,6,No,1,3,No,No,None,21.85174945228267,77.54186021885405,3.4118211168447163,27.34997579751004
Commercial,23,6,No,Chemical,Small,30,8,Yes,7,9,No,No,Over 3 years,26.249151241206985,71.86366869559996,1.9256974546825647,72.0912843826745
Commercial,13,3,No,Negligence,Large,47,6,Yes,6,12,Yes,Yes,Within 1 year,17.450347267454283,99.4,0.987943929078242,83.15920404421351
Industrial,41,12,No,Negligence,Small,50,4,Yes,8,8,No,No,None,26.23753216843144,79.3602659682044,1.8746575590825512,10.64270420281204
Commercial,35,10,No,Negligence,Medium,36,8,No,9,2,Yes,No,Within 1 year,24.62074887745666,66.87962016224505,1.3088528879933368,2.3
Residential,39,11,No,Electrical,Small,16,8,Yes,15,16,No,Yes,None,17.318222181390915,99.4,0.6,19.886379547399446
Residential,20,6,No,Negligence,Small,39,3,Yes,5,5,No,No,Within 1 year,16.284794072907875,77.63317225220034,1.3748582939070164,31.88036305992245
Commercial,8,2,Yes,Negligence,Large,13,6,Yes,1,1,No,No,Over 3 years,17.589228696109437,70.04453070169441,1.3025321289681349,43.698422549107285
Commercial,20,6,No,Chemical,Small,50,5,No,9,8,No,No,Over 3 years,29.7,86.19755745020214,4.9,47.290221069418976
Commercial,5,2,No,Chemical,Medium,5,6,Yes,2,4,No,No,None,15.547282335102173,58.18822686649661,2.5104761526706776,2.3
Residential,25,7,No,Negligence,Medium,29,8,No,7,15,No,No,1-3 years,23.303206961736752,51.78331326774544,0.6,79.5383408204626
Commercial,10,3,No,Electrical,Medium,45,5,No,1,2,No,No,1-3 years,19.496485268786035,51.35985072868517,3.633772720727525,7.874640836488169
Commercial,5,1,Yes,Chemical,Medium,25,4,Yes,6,7,No,No,Within 1 year,17.97743226565004,81.74216374475888,4.5485682982695375,9.535516216890972
Industrial,36,10,Yes,Negligence,Small,35,7,No,3,0,No,No,Over 3 years,25.57561003101677,74.09885667098447,3.011110006778001,25.51355384644214
Commercial,44,13,Yes,Chemical,Medium,30,4,Yes,16,9,No,No,None,26.98039957770924,83.68126361641042,2.622633897650878,50.171106430028175
Commercial,40,12,Yes,Negligence,Small,10,7,No,8,0,No,No,Within 1 year,15.1,76.45546086768945,1.8581938241267544,12.312630200485437
Industrial,34,10,No,Chemical,Large,23,8,No,7,7,Yes,No,1-3 years,29.7,99.4,0.6192460553901471,69.04872489293402
Residential,10,3,No,Negligence,Medium,22,10,Yes,3,6,No,No,None,15.1,50.22956013925853,2.0222638990898893,36.12302366953399
Residential,38,11,No,Chemical,Medium,9,8,No,11,15,Yes,Yes,None,21.463758123843487,42.85700725052367,2.8277596282995567,23.233987318270657
Residential,34,10,No,Chemical,Small,16,7,Yes,7,8,Yes,No,Within 1 year,17.42283431083011,40.4,4.034439834134161,16.724176693492762
Residential,6,1,No,Negligence,Medium,26,10,Yes,3,2,No,No,Within 1 year,16.441270601291695,71.88891567962261,0.6,12.434344151426888
Residential,21,6,Yes,Electrical,Medium,27,5,Yes,8,5,Yes,Yes,Over 3 years,15.100100450132338,59.78094487262667,3.5624394487497737,47.956003664767536
Residential,36,10,No,Negligence,Medium,14,8,Yes,5,5,No,No,Within 1 year,15.974817287249245,61.552295190072144,3.550661192882865,2.3
Residential,40,11,No,Chemical,Small,16,7,No,8,7,Yes,No,Over 3 years,21.21134877472201,52.49598198692818,1.9775331806539376,21.110542045293176
Residential,39,11,Yes,Chemical,Medium,5,6,Yes,12,11,No,Yes,None,22.05500802604457,73.32346077737257,1.9833058090941589,16.38509634284802
Industrial,21,6,No,Electrical,Small,33,5,No,3,8,No,No,Over 3 years,22.6047545085876,89.62666477202802,0.6825816831438807,38.28690374624678
Residential,17,5,Yes,Electrical,Large,8,9,Yes,6,0,No,No,Within 1 year,19.878081052644767,75.0012467610238,4.318402381838872,40.05778930066617
